tag; date; Home Team; Guest Team; Home Score; Guest Score; Home Corners; Guest Corner
QmTu8gVE; 02.11.2019 19:00; AIK; Sundsvall; 2; 1; 6; 2
za0m23sd; 02.11.2019 19:00; Falkenbergs; AFC Eskilstuna; 1; 0; 8; 3
WQTy9ZF8; 02.11.2019 19:00; Goteborg; Ostersunds; 7; 1; 9; 2
INPX9F02; 02.11.2019 19:00; Hammarby; Hacken; 4; 1; 11; 6
SYdu4PCq; 02.11.2019 19:00; Helsingborg; Elfsborg; 1; 2; 5; 7
Ekai1Nd2; 02.11.2019 19:00; Norrkoping; Djurgarden; 2; 2; 2; 7
6Peq3qSk; 02.11.2019 19:00; Orebro; Malmo FF; 0; 5; 1; 9
4vSq7DpL; 02.11.2019 19:00; Sirius; Kalmar; 3; 0; 3; 9
GfH4ARZF; 29.10.2019 01:00; Djurgarden; Orebro; 3; 0; 8; 5
EVW5kQcj; 29.10.2019 01:00; Elfsborg; Goteborg; 2; 0; 8; 11
x4I0B7K9; 29.10.2019 01:00; Malmo FF; AIK; 2; 0; 7; 4
txPiDTkc; 27.10.2019 23:30; Ostersunds; Hammarby; 1; 2; 10; 6
MiKC854S; 27.10.2019 21:00; AFC Eskilstuna; Sirius; 0; 0; 6; 7
AHG89okM; 27.10.2019 21:00; Hacken; Norrkoping; 0; 1; 6; 7
KSNeCm53; 26.10.2019 21:00; Kalmar; Falkenbergs; 2; 3; 12; 4
SYzAlpDd; 26.10.2019 18:30; Sundsvall; Helsingborg; 1; 2; 5; 3
fsKX7YDH; 22.10.2019 00:00; Goteborg; Djurgarden; 0; 1; 7; 1
IyTCCdan; 22.10.2019 00:00; Orebro; Elfsborg; 2; 2; 6; 7
Q1WKAzUb; 20.10.2019 22:30; Norrkoping; Kalmar; 1; 0; 7; 5
CbSGBGEh; 20.10.2019 20:00; Falkenbergs; AIK; 1; 5; 2; 2
nHKT8EbB; 20.10.2019 20:00; Hammarby; Malmo FF; 2; 0; 3; 2
8QLP9fq5; 19.10.2019 21:00; Ostersunds; Sirius; 2; 0; 5; 9
voU8Dxpt; 19.10.2019 18:30; Helsingborg; Hacken; 0; 2; 3; 4
W6s1j6rp; 19.10.2019 00:00; AFC Eskilstuna; Sundsvall; 1; 0; 5; 4
vXlzawVn; 06.10.2019 22:30; Elfsborg; Falkenbergs; 4; 0; 4; 7
QmindyF5; 06.10.2019 22:30; Malmo FF; Goteborg; 1; 0; 13; 1
8CtieeUB; 06.10.2019 20:00; Djurgarden; Hammarby; 1; 2; 5; 2
6caffFqI; 06.10.2019 20:00; Hacken; Ostersunds; 1; 1; 8; 1
nchrcHaa; 06.10.2019 20:00; Kalmar; AFC Eskilstuna; 0; 0; 4; 3
0KbbgZbO; 05.10.2019 21:00; AIK; Orebro; 2; 0; 3; 4
vBc2hgEU; 05.10.2019 21:00; Sirius; Helsingborg; 2; 1; 4; 3
INmvbcpg; 05.10.2019 18:30; Sundsvall; Norrkoping; 4; 4; 2; 10
6qKLuGUO; 01.10.2019 00:00; Hammarby; Orebro; 5; 1; 7; 5
0Q18pvGg; 01.10.2019 00:00; Helsingborg; Kalmar; 2; 0; 1; 2
ShLHtdFI; 01.10.2019 00:00; Ostersunds; Djurgarden; 1; 2; 4; 11
d8aVaJFt; 29.09.2019 22:30; AFC Eskilstuna; Malmo FF; 0; 1; 2; 5
8j5GrIp6; 29.09.2019 22:30; Falkenbergs; Norrkoping; 0; 2; 2; 6
ET5CqbVa; 29.09.2019 20:00; Elfsborg; AIK; 1; 1; 8; 7
Kn834a7P; 29.09.2019 20:00; Goteborg; Hacken; 0; 0; 8; 4
ns4Ksx0C; 29.09.2019 20:00; Sundsvall; Sirius; 2; 1; 2; 4
6NroTxoJ; 27.09.2019 00:00; Malmo FF; Helsingborg; 3; 0; 4; 5
0QuwVbG6; 27.09.2019 00:00; Norrkoping; AFC Eskilstuna; 4; 0; 9; 2
vBDan0os; 26.09.2019 00:00; AIK; Goteborg; 1; 0; 0; 7
nJLXjtwQ; 26.09.2019 00:00; Hacken; Elfsborg; 1; 2; 11; 2
MZtZVv10; 26.09.2019 00:00; Orebro; Ostersunds; 2; 0; 0; 6
I1C3oK0m; 26.09.2019 00:00; Sirius; Hammarby; 1; 3; 2; 6
8SMTiMNJ; 25.09.2019 00:00; Djurgarden; Falkenbergs; 1; 0; 4; 2
fmusUIVC; 25.09.2019 00:00; Kalmar; Sundsvall; 0; 2; 3; 5
Kh54Ga1D; 22.09.2019 22:30; Elfsborg; Malmo FF; 0; 3; 2; 4
t260Hun7; 22.09.2019 22:30; Helsingborg; AFC Eskilstuna; 2; 1; 7; 4
Q7mQX0Wm; 22.09.2019 20:00; Hammarby; AIK; 2; 1; 8; 2
4bnUWKof; 21.09.2019 23:00; Goteborg; Sirius; 2; 1; 2; 4
WplMYtHs; 21.09.2019 21:00; Kalmar; Hacken; 1; 1; 4; 10
C07kv3gK; 21.09.2019 21:00; Norrkoping; Orebro; 3; 0; 4; 2
Y98ouqvE; 21.09.2019 18:30; Falkenbergs; Ostersunds; 1; 0; 5; 11
fPdfwN8Q; 21.09.2019 00:00; Sundsvall; Djurgarden; 1; 4; 5; 6
bwHeILW0; 17.09.2019 00:00; AFC Eskilstuna; Elfsborg; 2; 2; 1; 14
CMEqLNnr; 17.09.2019 00:00; Djurgarden; Helsingborg; 2; 0; 6; 0
ILdBwW29; 15.09.2019 22:30; Malmo FF; Norrkoping; 1; 0; 5; 2
jDDmKs2l; 15.09.2019 20:00; Hacken; AIK; 1; 2; 8; 4
dCeFxjIF; 15.09.2019 20:00; Hammarby; Goteborg; 6; 2; 10; 2
Obc7vCm3; 14.09.2019 21:00; Ostersunds; Kalmar; 1; 2; 2; 4
COg3uhYd; 14.09.2019 18:30; Orebro; Sundsvall; 0; 0; 4; 4
pzDiJ1Hf; 14.09.2019 00:00; Sirius; Falkenbergs; 2; 0; 4; 11
WSGGHltj; 01.09.2019 22:30; Hacken; Falkenbergs; 4; 1; 6; 2
