tag; date; Home Team; Guest Team; Home Score; Guest Score; Home Corners; Guest Corner
rZUB10Nt; 04.08.2020 01:30; Basel; Luzern; 0; 0; 5; 5
v1OKavhg; 04.08.2020 01:30; Servette; Sion; 1; 2; 3; 5
0APG0Kxm; 04.08.2020 01:30; Xamax; Lugano; 0; 1; 8; 6
YNNObb7a; 04.08.2020 01:30; Young Boys; St. Gallen; 3; 1; 8; 6
nRRScIM5; 04.08.2020 01:30; Zurich; Thun; 3; 3; 4; 7
8Mmjpah6; 01.08.2020 01:30; Lugano; Servette; 3; 1; 5; 2
nDnfqJ7C; 01.08.2020 01:30; Luzern; Zurich; 2; 1; 2; 3
UyxarwNI; 01.08.2020 01:30; Sion; Young Boys; 0; 1; 1; 3
SMf2scxP; 01.08.2020 01:30; St. Gallen; Xamax; 6; 0; 8; 2
tQrp6tFP; 01.08.2020 01:30; Thun; Basel; 0; 0; 4; 1
hAqULO9l; 29.07.2020 01:30; Zurich; Sion; 0; 2; 8; 5
nk47hNpQ; 26.07.2020 21:00; Basel; Lugano; 4; 4; 4; 5
4UjZmsgs; 26.07.2020 21:00; Servette; Xamax; 4; 1; 10; 5
0dprnLNg; 26.07.2020 21:00; Young Boys; Luzern; 1; 0; 13; 2
vmqnouw0; 26.07.2020 01:30; Zurich; St. Gallen; 1; 3; 7; 9
IXfwm18m; 25.07.2020 23:15; Sion; Thun; 1; 1; 6; 2
UF0OVawD; 24.07.2020 01:30; Xamax; Young Boys; 0; 1; 1; 4
MkcGXL80; 23.07.2020 01:30; Lugano; Zurich; 1; 0; 8; 6
zg1KWuO6; 23.07.2020 01:30; Luzern; Sion; 1; 2; 6; 8
86aSUJhJ; 23.07.2020 01:30; St. Gallen; Basel; 0; 5; 9; 2
8b53g3VJ; 22.07.2020 23:15; Thun; Servette; 5; 1; 11; 2
nTSWup1K; 19.07.2020 21:00; Luzern; Xamax; 1; 2; 1; 10
UiIyu4GQ; 19.07.2020 21:00; Servette; Basel; 2; 2; 1; 3
W043zOOs; 19.07.2020 21:00; Sion; Lugano; 1; 1; 4; 3
0z97Zsvl; 19.07.2020 21:00; Thun; St. Gallen; 2; 1; 1; 16
vR7BY1gf; 19.07.2020 01:30; Zurich; Young Boys; 0; 5; 3; 14
MkyoIt9D; 17.07.2020 01:30; St. Gallen; Luzern; 4; 1; 7; 1
raxsJMg7; 16.07.2020 23:15; Xamax; Sion; 0; 0; 3; 3
QNsxK2v1; 16.07.2020 01:30; Lugano; Thun; 1; 1; 4; 5
zgPStQoE; 16.07.2020 01:30; Young Boys; Servette; 4; 2; 5; 5
nXrYKrPf; 15.07.2020 01:30; Basel; Zurich; 4; 0; 11; 1
fZ3gSQWK; 12.07.2020 21:00; Luzern; Lugano; 3; 3; 10; 0
YP2cRpnR; 12.07.2020 21:00; Servette; St. Gallen; 1; 1; 8; 3
v7uQM4fr; 12.07.2020 21:00; Thun; Xamax; 3; 0; 6; 4
0bkjT6HE; 12.07.2020 01:30; Basel; Young Boys; 3; 2; 6; 9
YoAi85uk; 10.07.2020 01:30; Lugano; St. Gallen; 3; 3; 5; 4
6a8a6qA1; 09.07.2020 01:30; Servette; Luzern; 2; 0; 5; 6
K2C353P7; 09.07.2020 01:30; Sion; Basel; 1; 0; 4; 9
M7jnUn28; 08.07.2020 23:15; Young Boys; Thun; 4; 0; 11; 4
Cx9e7Pfe; 08.07.2020 01:30; Xamax; Zurich; 1; 1; 3; 6
YmkBSZQ3; 05.07.2020 21:00; Luzern; Thun; 3; 0; 5; 2
pOhFRgtA; 05.07.2020 21:00; St. Gallen; Sion; 2; 1; 11; 4
vohJQDeG; 05.07.2020 21:00; Young Boys; Lugano; 3; 0; 2; 4
GAFn9oQr; 05.07.2020 01:30; Zurich; Servette; 2; 0; 5; 9
jPa6TFBc; 04.07.2020 23:15; Basel; Xamax; 2; 0; 4; 4
OI7K5CJj; 03.07.2020 01:30; Sion; Luzern; 0; 2; 5; 4
CY02Uedi; 02.07.2020 01:30; Thun; Zurich; 3; 2; 5; 6
voWmBYeT; 02.07.2020 01:30; Xamax; St. Gallen; 1; 2; 6; 10
QsSqCEtN; 01.07.2020 23:15; Lugano; Basel; 2; 1; 4; 4
pS8G6h4p; 01.07.2020 01:30; Servette; Young Boys; 1; 1; 2; 4
v5EWGxSi; 28.06.2020 21:00; Basel; Sion; 2; 0; 12; 0
CICvFGd4; 28.06.2020 21:00; St. Gallen; Thun; 3; 2; 11; 4
WKSuDfRG; 28.06.2020 21:00; Zurich; Lugano; 1; 0; 10; 5
hUTyEzCA; 28.06.2020 01:30; Young Boys; Xamax; 6; 0; 4; 2
YRDzGdsb; 27.06.2020 23:15; Luzern; Servette; 2; 2; 8; 6
OdWqgZZp; 26.06.2020 01:30; St. Gallen; Zurich; 0; 4; 13; 2
ENtAaycH; 25.06.2020 01:30; Lugano; Luzern; 2; 0; 5; 3
MmpIcFRT; 25.06.2020 01:30; Sion; Servette; 1; 1; 7; 11
hEuEbeCN; 24.06.2020 23:15; Xamax; Basel; 1; 2; 4; 1
Q1ASHICo; 24.06.2020 01:30; Thun; Young Boys; 1; 0; 5; 7
rPuk4arn; 21.06.2020 21:00; Luzern; Basel; 2; 1; 3; 3
viZc2wDb; 21.06.2020 21:00; Servette; Lugano; 1; 1; 6; 4
YDY11cS4; 21.06.2020 01:30; Sion; St. Gallen; 1; 2; 3; 7
00zf3Jch; 20.06.2020 23:15; Xamax; Thun; 2; 1; 9; 1
Wbi50HsB; 20.06.2020 01:30; Young Boys; Zurich; 3; 2; 12; 5
hfDSnbDB; 23.02.2020 22:00; Basel; Servette; 2; 2; 1; 5
WpCWoISH; 23.02.2020 22:00; Lugano; Sion; 0; 0; 3; 8
E91yoxrO; 23.02.2020 22:00; St. Gallen; Young Boys; 3; 3; 9; 3
SC5updcU; 23.02.2020 01:00; Thun; Luzern; 1; 1; 3; 4
4Yto5uTu; 23.02.2020 01:00; Zurich; Xamax; 1; 1; 5; 4
ABLBjtEn; 16.02.2020 22:00; Lugano; Young Boys; 2; 1; 5; 9
OEPFk0Th; 16.02.2020 22:00; Luzern; St. Gallen; 1; 0; 1; 13
6wFKlKra; 16.02.2020 22:00; Servette; Zurich; 4; 1; 5; 4
GlM7iMbt; 16.02.2020 01:00; Basel; Thun; 0; 1; 14; 2
pUDOmvb5; 16.02.2020 01:00; Sion; Xamax; 1; 2; 6; 5
4AhkZvqC; 09.02.2020 22:00; St. Gallen; Servette; 1; 0; 7; 5
bXigYbbI; 09.02.2020 22:00; Thun; Lugano; 3; 2; 7; 12
hzkozLT5; 09.02.2020 22:00; Xamax; Luzern; 0; 1; 8; 4
xOjcXIDO; 09.02.2020 01:00; Young Boys; Sion; 1; 0; 9; 4
Euztd2jP; 09.02.2020 01:00; Zurich; Basel; 0; 4; 3; 3
