tag; date; Home Team; Guest Team; Home Score; Guest Score; Home Corners; Guest Corner
lKHXT4VE; 19.09.2020 01:30; Bayern Munich; Schalke; 8; 0; 9; 2
0I3OJK77; 19.09.2020 20:30; Werder Bremen; Hertha Berlin; 1; 4; 7; 4
4jAFLtwe; 19.09.2020 20:30; Union Berlin; Augsburg; 1; 3; 8; 1
ELi6r4p8; 19.09.2020 20:30; Stuttgart; Freiburg; 2; 3; 7; 2
MR4KK0h1; 19.09.2020 20:30; FC Koln; Hoffenheim; 2; 3; 1; 6
QaBBMMNl; 19.09.2020 20:30; Eintracht Frankfurt; Arminia Bielefeld; 1; 1; 14; 3
SAGyTOpL; 19.09.2020 23:30; Dortmund; B. Monchengladbach; 3; 0; 1; 3
AZ5tSr0R; 20.09.2020 20:30; RB Leipzig; Mainz; 3; 1; 7; 5
WxC7N28r; 20.09.2020 23:00; Wolfsburg; Bayer Leverkusen; 0; 0; 4; 4
bDVlzthl; 26.09.2020 01:30; Hertha Berlin; Eintracht Frankfurt; 1; 3; 4; 3
fuPcYJM0; 26.09.2020 20:30; Mainz; Stuttgart; 1; 4; 3; 9
AmoFtrFK; 26.09.2020 20:30; Bayer Leverkusen; RB Leipzig; 1; 1; 4; 1
SOeAsOaE; 26.09.2020 20:30; B. Monchengladbach; Union Berlin; 1; 1; 7; 5
l2O1Xwx7; 26.09.2020 20:30; Augsburg; Dortmund; 2; 0; 3; 11
ShN5WciD; 26.09.2020 20:30; Arminia Bielefeld; FC Koln; 1; 0; 4; 7
txLgZa7f; 26.09.2020 23:30; Schalke; Werder Bremen; 1; 3; 8; 3
lvpJu2UQ; 27.09.2020 20:30; Hoffenheim; Bayern Munich; 4; 1; 3; 5
KMWpyMxr; 27.09.2020 23:00; Freiburg; Wolfsburg; 1; 1; 9; 1
8nLYZWc5; 03.10.2020 01:30; Union Berlin; Mainz; 4; 0; 4; 2
GCOtYASH; 03.10.2020 20:30; Werder Bremen; Arminia Bielefeld; 1; 0; 2; 1
byEoXUsO; 03.10.2020 20:30; Stuttgart; Bayer Leverkusen; 1; 1; 7; 12
xMPxZjDB; 03.10.2020 20:30; FC Koln; B. Monchengladbach; 1; 3; 4; 10
UeMUzDra; 03.10.2020 20:30; Eintracht Frankfurt; Hoffenheim; 2; 1; 5; 7
tzUHwFbt; 03.10.2020 20:30; Dortmund; Freiburg; 4; 0; 3; 2
zcTLxZDn; 03.10.2020 23:30; RB Leipzig; Schalke; 4; 0; 8; 1
nXWPygTh; 04.10.2020 20:30; Wolfsburg; Augsburg; 0; 0; 12; 2
4A6lesUD; 04.10.2020 23:00; Bayern Munich; Hertha Berlin; 4; 3; 6; 1
SQM3mjS4; 17.10.2020 20:30; Mainz; Bayer Leverkusen; 0; 1; 6; 2
l0geiYSu; 17.10.2020 20:30; Hoffenheim; Dortmund; 0; 1; 4; 6
fDOekCch; 17.10.2020 20:30; Hertha Berlin; Stuttgart; 0; 2; 6; 4
Sjhajhrn; 17.10.2020 20:30; Freiburg; Werder Bremen; 1; 1; 4; 4
OhGCoUdH; 17.10.2020 20:30; Augsburg; RB Leipzig; 0; 2; 5; 8
2qFGplCN; 17.10.2020 23:30; Arminia Bielefeld; Bayern Munich; 1; 4; 6; 10
CvIkWlcU; 18.10.2020 01:30; B. Monchengladbach; Wolfsburg; 1; 1; 5; 4
tUQ7nAsB; 18.10.2020 20:30; FC Koln; Eintracht Frankfurt; 1; 1; 2; 8
Y3NalWCb; 18.10.2020 23:00; Schalke; Union Berlin; 1; 1; 5; 7
A9vfb7tN; 24.10.2020 01:30; Stuttgart; FC Koln; 1; 1; 3; 5
KKos19d4; 24.10.2020 20:30; Union Berlin; Freiburg; 1; 1; 4; 2
zXqV3BCo; 24.10.2020 20:30; RB Leipzig; Hertha Berlin; 2; 1; 7; 3
xdtn0TBA; 24.10.2020 20:30; Mainz; B. Monchengladbach; 2; 3; 3; 7
WIJKq8RT; 24.10.2020 20:30; Bayern Munich; Eintracht Frankfurt; 5; 0; 10; 3
YR5nuSZp; 24.10.2020 23:30; Dortmund; Schalke; 3; 0; 7; 2
tUnw2ksb; 25.10.2020 21:30; Wolfsburg; Arminia Bielefeld; 2; 1; 4; 3
GnujamRG; 26.10.2020 00:00; Werder Bremen; Hoffenheim; 1; 1; 1; 4
n7mZ2VRi; 27.10.2020 02:30; Bayer Leverkusen; Augsburg; 3; 1; 3; 3
d6dLESQ3; 31.10.2020 02:30; Schalke; Stuttgart; 1; 1; 3; 4
A90PDntA; 31.10.2020 21:30; FC Koln; Bayern Munich; 1; 2; 5; 1
zi8CGldi; 31.10.2020 21:30; Eintracht Frankfurt; Werder Bremen; 1; 1; 5; 3
4WaTC6eG; 31.10.2020 21:30; Augsburg; Mainz; 3; 1; 4; 1
rNbXBQAM; 31.10.2020 21:30; Arminia Bielefeld; Dortmund; 0; 2; 0; 12
OCrbcReT; 01.11.2020 00:30; B. Monchengladbach; RB Leipzig; 1; 0; 2; 4
8pKUi5Jj; 01.11.2020 21:30; Freiburg; Bayer Leverkusen; 2; 4; 4; 6
Es7GF8Bc; 02.11.2020 00:00; Hertha Berlin; Wolfsburg; 1; 1; 8; 6
UgLQho4p; 03.11.2020 02:30; Hoffenheim; Union Berlin; 1; 3; 3; 6
ryv6QPPF; 07.11.2020 02:30; Werder Bremen; FC Koln; 1; 1; 1; 3
dKyfTRuc; 07.11.2020 21:30; Union Berlin; Arminia Bielefeld; 5; 0; 5; 1
OYiz9cfr; 07.11.2020 21:30; Stuttgart; Eintracht Frankfurt; 2; 2; 10; 8
27u464Yq; 07.11.2020 21:30; RB Leipzig; Freiburg; 3; 0; 3; 4
zBzbSoe3; 07.11.2020 21:30; Mainz; Schalke; 2; 2; 4; 9
4pu2R5A9; 07.11.2020 21:30; Augsburg; Hertha Berlin; 0; 3; 2; 6
0bgxBpQS; 08.11.2020 00:30; Dortmund; Bayern Munich; 2; 3; 4; 3
fFcB4r3d; 08.11.2020 21:30; Wolfsburg; Hoffenheim; 2; 1; 3; 7
dUv85Omj; 09.11.2020 00:00; Bayer Leverkusen; B. Monchengladbach; 4; 3; 6; 2
db2ZRx1K; 21.11.2020 21:30; Schalke; Wolfsburg; 0; 2; 6; 4
Akfn6ev1; 21.11.2020 21:30; Hoffenheim; Stuttgart; 3; 3; 3; 4
xxdv8H9l; 21.11.2020 21:30; Bayern Munich; Werder Bremen; 1; 1; 7; 3
Wber7yPf; 21.11.2020 21:30; B. Monchengladbach; Augsburg; 1; 1; 2; 1
tWw6MGOs; 21.11.2020 21:30; Arminia Bielefeld; Bayer Leverkusen; 1; 2; 0; 10
UiAm4Z8D; 22.11.2020 00:30; Eintracht Frankfurt; RB Leipzig; 1; 1; 5; 6
rebVSIoE; 22.11.2020 02:30; Hertha Berlin; Dortmund; 2; 5; 4; 3
j1Bq5Fg7; 22.11.2020 21:30; Freiburg; Mainz; 1; 3; 9; 4
vNivRdGQ; 23.11.2020 00:00; FC Koln; Union Berlin; 1; 2; 5; 4
xIZQHhwD; 28.11.2020 02:30; Wolfsburg; Werder Bremen; 5; 3; 0; 5
