[0]; [1]; [2]; [3]; [4]; [5]
1; Bayern Munich; 11; 2,61; 185; 87
2; Schalke; 5,41; 7,76; 99; 142
3; Werder Bremen; 1,49; 7,91; 84; 115
4; Hertha Berlin; 4,99; 5,04; 111; 115
5; Union Berlin; 2,58; 4,56; 100; 107
6; Augsburg; 0,99; 7,45; 71; 139
7; Stuttgart; 6,89; 8,58; 124; 114
8; Freiburg; 3,3; 5,09; 93; 109
9; FC Koln; 5,78; 5,47; 102; 124
10; Hoffenheim; 4,95; 5,39; 111; 112
11; Eintracht Frankfurt; 11,05; 3,94; 146; 114
12; Arminia Bielefeld; 3,65; 7,18; 78; 142
13; Dortmund; 4,52; 2,86; 121; 83
14; B. Monchengladbach; 9,01; 4,79; 142; 102
15; RB Leipzig; 4,41; 2,68; 120; 94
16; Mainz; 2,52; 3,96; 89; 121
17; Wolfsburg; 5,4; 7,45; 124; 136
18; Bayer Leverkusen; 6,89; 2,11; 135; 79
